x0,x1,x2,x3,x4,x5,target
-2.255562,-1.906367,-0.071111,-0.103203,0.345219,-0.769675,0
-2.023045,0.329187,0.370054,0.992994,0.790796,-0.190716,0
-0.136367,-0.660836,-0.520578,-0.584812,-2.165737,0.156326,1
-0.362266,-0.713841,0.371804,1.716871,0.038255,-0.507634,1
-0.069756,-1.264766,-0.125261,0.061182,1.844679,0.943474,1
-0.712949,0.669922,-1.139382,0.311961,0.418737,-0.766409,0
0.567374,-1.902728,0.55286,-0.407412,0.001376,0.465765,1
-2.039151,-1.15832,0.772624,1.301204,1.903153,1.803168,0
0.769482,-1.91629,1.613601,0.253349,-1.141169,2.009901,1
-1.891149,0.293468,-0.73114,0.111295,-0.465195,1.373494,0
0.317405,1.814188,-0.82696,0.210649,0.202002,-0.689702,0
0.09705,-0.943768,1.762016,0.791615,-0.167107,-0.636675,1
1.230941,-0.146478,0.459438,-0.184457,0.616409,-0.115979,1
-0.183211,0.829587,0.672384,-0.11661,-0.859777,-0.94012,0
-0.984488,0.865796,-0.046602,1.570101,2.27933,0.024222,0
-0.381454,-0.075348,-1.488442,-0.250493,0.286946,-0.459428,0
-0.758757,1.786684,-0.159646,-0.82993,-0.372898,0.954344,0
0.481847,0.727885,0.749118,1.399695,-0.550482,1.132733,1
-0.39654,1.196087,0.822375,0.002098,-1.191414,0.56166,0
-0.923885,-0.648134,0.246494,-2.121032,0.360763,0.17391,0
1.036927,0.61144,-0.606284,-0.670017,0.695151,-1.516074,1
-0.631047,0.069877,0.211127,0.036788,1.134848,0.228063,0
-1.210855,0.72185,0.528147,1.45081,-0.747455,0.026418,0
-0.087611,0.01039,-1.714539,0.824986,0.653206,1.130473,0
-0.318967,-0.036143,0.009784,1.942185,-1.73122,0.485768,0
-2.581571,-2.020833,-1.381769,1.069025,-0.86836,-0.227458,0
0.61095,-1.101962,1.317652,-0.993105,-0.764827,0.122741,1
1.42469,0.120407,-1.207834,-0.560335,-0.572784,0.725042,1
-0.119391,0.869607,-0.528496,-0.136234,0.18076,1.528181,0
-0.350799,-1.045837,0.686052,-0.587645,0.343685,-1.90161,1
-1.331938,-0.777342,1.058581,-1.334471,-0.079455,0.074256,0
1.342933,1.498778,-1.971618,-1.44899,0.808232,-1.303024,1
0.129552,0.69185,-0.223253,0.095221,-0.776733,1.292362,0
0.339733,-0.511638,0.106323,-0.168163,-0.162464,-1.013781,1
1.414042,0.243148,0.732335,0.838068,0.927986,0.303357,1
0.864007,0.068832,-0.973918,0.023848,-1.888415,-0.0059,1
1.235981,0.151277,0.92814,-0.000538,-1.023476,-1.41138,1
-1.366148,0.633708,-0.207615,0.570315,0.073431,1.04405,0
-0.645338,-0.274316,-0.532829,-1.621312,0.675217,1.188795,0
-0.493192,1.090905,-2.344962,0.177475,0.143284,-0.570857,0
0.970735,-0.261157,-0.086696,-0.388024,-0.51212,-1.3082,1
1.028,0.798166,-1.094336,2.080845,1.980165,0.188057,0
-0.86643,0.418549,-0.913014,-0.034211,1.088645,-1.506824,0
1.566708,-1.237086,-1.413641,-0.283422,-1.031143,-0.263721,1
-0.228702,1.802856,-1.116595,-0.273069,-1.489609,0.638238,0
1.940733,0.206839,-0.37218,0.550272,-0.506228,-1.339308,1
-0.174869,0.166315,0.375457,-0.51032,0.421576,1.737697,0
1.737426,-0.242803,-0.766627,2.427221,0.155022,1.370403,1
-1.680595,0.12082,-0.52532,-1.341793,-1.771711,0.10229,0
0.390668,-0.305829,-0.798517,-0.986861,-0.555161,-1.033055,1
-0.022887,-0.895988,-0.23205,-0.76032,-0.004472,0.507088,1
0.472151,-1.652015,-0.378696,0.276739,0.641162,-1.598003,1
1.206421,-0.178611,-0.094758,0.450457,0.247118,0.674637,1
0.152496,-0.782444,-0.170438,1.253122,-0.20417,-0.168564,1
0.787186,-0.854679,0.910502,-0.936973,-1.057781,0.205939,1
0.297557,1.062537,-0.412496,0.442994,-0.909817,1.259169,0
0.536519,0.187878,-0.785599,-0.327372,0.501779,-0.019184,1
-1.35982,0.181094,-0.691927,-1.083337,-0.154685,-1.856504,0
0.852013,-0.053436,-0.993782,-0.945369,-0.151123,-2.423734,1
0.664432,-0.311895,-0.494402,0.181967,0.350644,1.094152,1
-0.689758,-0.461265,0.181946,1.5562,-0.320273,-1.052527,0
-2.096335,0.329794,-1.361324,-1.23351,-1.976015,-1.117988,0
-1.311354,-1.749642,0.178263,-0.341171,0.43219,0.74056,0
-1.297761,-0.1238,0.500259,-0.582989,-1.437461,1.102612,0
-0.40923,0.015962,1.030472,0.26362,-0.333226,0.682133,0
1.387786,0.672871,-1.12228,3.752059,-1.198657,-0.371803,0
1.626892,0.42024,-1.427125,0.267587,0.546906,-0.318483,1
-0.725033,-0.436849,0.022732,-0.51991,0.73522,-0.949947,0
-0.739393,1.348891,-0.573156,2.340809,0.491484,-1.164426,0
0.243372,-1.177644,2.374579,-0.990891,0.680943,1.46013,0
-0.995861,-0.273066,0.362216,0.875752,0.056717,-1.400222,0
-0.673358,-2.183236,-0.69756,-1.432451,0.586854,1.944165,1
-0.573209,-0.467394,0.688782,1.061286,-0.418739,-0.142636,1
-0.107452,-0.485321,0.119914,0.579702,-1.021642,-0.248403,1
-0.278264,1.876925,0.741722,-0.092543,-0.933112,-0.311408,0
-0.561687,1.450421,-1.373636,-0.290046,1.742764,-2.007839,0
-1.851377,-0.09008,-0.172535,0.824293,-3.154543,-1.91781,0
0.036895,-0.893217,-0.220867,-1.186173,-0.401273,-0.846766,1
0.58142,1.43293,-0.656419,-0.317992,0.047745,-0.294919,0
-1.562179,0.371755,-0.915192,-0.956962,-1.588126,1.161002,0
1.149492,0.272302,-1.703361,-1.083696,0.757932,-0.765683,1
-0.179379,-0.176967,-1.011867,-0.326145,-0.478493,-2.58999,1
-0.811375,1.304439,-1.150124,-1.579598,1.187624,-1.585055,0
0.597337,-0.329646,-1.655472,0.188035,-0.194323,1.283855,1
3.035714,-1.645894,-0.021675,-1.066654,1.154751,0.821838,1
-0.777332,-0.745152,-2.02968,1.7095,0.508219,-0.26086,0
0.750916,0.975264,-1.623537,-0.713836,0.195442,0.355421,1
-1.008636,0.127209,2.205354,0.691922,0.870563,-0.019187,0
1.80399,0.106642,1.223978,-0.875139,0.590099,0.904217,1
1.098124,-0.675247,-0.805239,-0.001192,1.93199,0.309153,1
-0.731798,0.077497,-1.176556,-0.571106,0.835641,-0.038397,0
-0.202416,-0.197936,1.276682,-0.648617,-1.519765,1.301277,0
-2.165195,0.044529,-0.403787,1.74484,-0.728991,-0.580768,0
-1.054056,-0.700496,-1.435924,-1.031197,-1.606585,-1.497279,1
-0.521159,-0.683689,-1.22647,0.478271,-0.048076,-0.431976,0
1.59288,0.239814,0.475378,-2.58604,-0.653734,-2.171007,1
0.37331,-0.674298,0.518609,-1.02275,0.575803,-1.553609,1
0.419807,0.535921,-0.127263,1.939714,-0.41442,-0.450996,0
1.768934,-0.368998,-1.176015,1.320904,1.235506,0.108326,1
0.418976,-0.621392,-1.170772,1.043372,-2.132592,0.567163,1
2.051011,0.325174,-2.058431,-0.836121,0.064667,0.355564,1
-1.959676,-0.32995,0.969861,1.54397,1.861024,-0.390219,0
1.711712,1.19807,0.723685,0.827797,-0.789884,-1.44725,1
-0.347067,-0.028134,-0.57872,-0.392907,0.232749,-1.021859,0
0.246055,-0.077355,-0.74363,0.78662,1.872637,-0.601243,1
0.889264,-2.653252,-0.761194,-0.63584,0.781772,0.188488,1
0.636279,-0.898917,-0.74655,-1.222889,-0.170271,-0.119103,1
-0.727308,0.906525,0.917111,1.546519,0.711308,0.185511,0
0.609752,-0.651815,1.289385,1.718518,1.976953,0.035226,1
0.416359,-0.002546,0.619289,-0.12118,-0.193783,1.758982,1
0.06701,0.882019,0.150333,0.291622,-0.063564,-1.220416,0
-1.136885,0.210151,-1.181438,0.916709,0.749235,0.280428,0
0.416301,-1.964998,-1.09682,-0.148733,0.345259,-0.079396,1
0.133446,-0.4537,-1.068597,0.329502,-0.209978,1.196483,1
0.734671,0.321667,-0.845178,-0.935627,-1.471158,2.879012,1
-0.209832,-0.360389,-0.281098,-0.584051,-1.868345,-0.998194,0
-0.12678,-0.684199,-0.68718,0.215879,-0.582785,0.932094,1
0.225157,-1.325297,0.656873,-0.405183,0.408758,0.330005,1
0.217439,-0.385296,1.34611,0.934289,0.482494,-1.18014,1
-0.663862,-0.245003,0.448016,-0.896538,1.177074,0.003595,0
-0.475317,-2.585185,-0.751729,-0.549128,-0.61041,-0.325254,1
-0.593734,1.502497,1.214902,-1.141841,1.2539,-1.621367,0
1.525193,-2.239553,0.574786,-1.253494,-0.144,-0.180203,1
-0.810603,-0.069015,0.62702,-0.251777,-0.822067,-0.0592,0
0.884055,-0.943052,-0.449131,0.322943,-0.167167,-0.18528,1
-0.695839,-0.79969,0.44073,-1.0951,1.165384,0.217305,0
0.283027,0.167279,0.762161,1.15885,-0.366419,-0.707763,1
-0.981088,-0.746442,0.284502,0.015266,-0.491357,-0.738256,0
-0.501599,-1.040157,-0.151675,-0.264494,-1.070041,0.827176,1
0.040894,0.13104,0.527308,-0.030922,0.891292,1.656008,0
0.440253,0.873452,-0.338043,-1.128305,0.906001,-1.568764,1
0.870433,0.187691,0.051096,1.751358,-0.946226,-1.160193,1
-0.261797,-1.006469,0.153861,0.135945,-0.813857,1.603053,1
-1.276723,0.37612,-0.207483,0.417727,-0.618971,-1.03334,0
-0.683595,0.524996,-0.479958,0.76143,0.588075,1.040596,0
0.784353,0.769853,-0.516692,-0.261884,-1.830127,0.291751,1
0.401545,0.527484,-1.352094,-1.013839,-0.349346,-0.517601,1
-1.155424,0.047178,-1.688486,-2.15511,0.716664,-1.305313,1
-1.417363,-1.408871,-0.398857,-0.410128,0.982587,0.449512,0
0.757684,1.116554,0.411298,-0.406316,1.018603,1.768522,0
1.770677,0.926599,0.848859,-1.090186,-1.113549,-0.049483,1
-0.592954,0.867337,-0.665155,0.533191,-1.351251,-0.493641,0
0.208512,0.290283,1.704724,1.296804,-0.876857,1.317899,1
-0.01759,0.015213,1.07304,-1.129267,0.451861,0.524015,0
-0.210386,1.003412,-0.711544,1.147059,0.35224,-1.400083,0
0.179305,-0.355656,-0.736254,-0.240193,-1.442157,1.690719,1
-0.661283,1.144899,0.585031,0.720245,1.516708,-0.312143,0
0.844268,0.796278,-0.326889,-1.26558,1.239151,0.575847,1
0.779954,-1.440977,-0.48263,-1.123309,-0.637831,-0.833311,1
0.724264,0.294591,0.628732,1.092342,-0.372703,0.079895,1
1.706739,0.899078,1.381551,1.018965,1.057265,-1.78467,1
0.212925,0.054214,-0.527255,-0.425274,0.416181,0.839976,1
0.218104,-0.560687,-0.950803,0.392622,-0.328718,-0.659037,1
0.281299,-0.010038,-1.09164,-0.840998,-0.182506,0.405148,1
0.488107,-0.824003,2.727745,-0.941003,-0.790126,0.194003,0
0.827631,1.801416,-0.38762,0.172771,-0.51776,-2.9e-05,0
0.894246,-0.904225,1.545904,1.162061,0.486368,-0.659217,1
-0.795466,0.467606,-0.316471,-2.234962,0.926203,0.191453,0
-0.13618,0.188467,1.115326,0.387797,0.288002,3.214391,0
0.169186,1.734029,-0.805008,-1.040997,-1.432066,0.533662,0
0.741488,-1.35356,1.005859,1.197266,-0.097311,0.032566,1
0.367144,0.64197,-1.086086,-0.174622,-1.212473,0.631277,1
-0.098815,0.296799,-1.556516,0.857925,-0.467271,0.129051,0
-0.756501,1.197234,0.124075,0.02819,0.556046,-1.247026,0
0.061509,1.036277,-0.216807,-0.363317,0.369638,-0.059368,0
-0.193958,1.26763,-0.093104,-0.87046,0.715937,-1.853444,0
-0.00415,0.180925,0.220399,-0.892783,-0.1505,-1.398733,0
-1.615319,-0.149243,0.261579,-1.756626,-0.522503,0.788146,0
-1.50396,0.339918,-1.235949,-1.345258,1.596074,0.668182,0
0.219028,0.641946,0.181293,2.247279,0.605779,-2.992982,0
-0.736576,-0.204147,0.013466,-0.651143,-1.084918,1.363405,0
-0.670739,0.67965,0.675181,1.267307,-1.055313,0.779882,0
1.155045,-0.192449,-2.271779,0.035354,-1.784163,-0.217149,1
-0.401305,-1.48692,-1.115729,-0.844591,-0.248109,1.2885,1
-0.472195,1.273878,-1.368062,0.685021,-0.175235,0.236325,0
-0.679575,0.801158,-0.00931,2.411799,-0.304261,1.269175,0
-1.174126,1.360622,-1.060411,-2.231995,0.853316,1.068953,0
-0.261019,1.583682,0.711868,-0.655866,0.731533,-1.243292,0
-1.05113,-2.200017,-1.177293,1.222328,-1.097822,-0.550032,0
0.865607,0.001197,0.490745,-0.105687,-1.171027,-0.973943,1
-0.057407,0.774402,-3.162596,1.110109,-0.493967,2.172857,0
0.028269,0.660378,-0.875795,0.872738,-0.645216,1.289103,0
0.495637,-0.724194,-0.210571,0.299912,-2.033343,-0.551749,1
-1.268181,1.278978,-0.628315,0.323257,-1.147664,0.484378,0
1.136374,1.35407,1.253524,0.208919,-1.226164,1.323765,1
-0.43871,0.737109,0.443558,1.593065,-0.004053,-1.690069,0
0.17406,-0.350609,1.412454,-0.247613,-1.435847,0.466789,1
1.699892,0.270094,-1.403284,1.079392,2.369247,-2.004056,1
0.484028,0.17568,0.343328,0.491886,-0.693005,1.41099,1
1.958563,1.527687,-1.186135,-0.0054,1.419859,-0.490994,1
-0.402377,1.167473,-0.607683,-0.009826,0.540215,-0.207602,0
-1.341549,-1.518256,-1.179804,-1.72055,-0.726877,0.300215,1
-0.826633,-1.018019,-0.993389,-1.387898,-1.235878,0.714362,1
0.017316,-0.618054,2.427944,-1.796928,0.193301,-0.333751,0
0.315213,0.155585,-1.068905,0.426277,0.389169,1.30947,0
1.470444,-0.196817,-1.976012,0.523096,-0.08159,-0.882351,1
-0.471628,1.016886,-0.082701,0.750322,0.679478,0.473168,0
0.919713,0.021762,2.002261,0.47867,0.751126,-0.764893,1
0.096718,-1.170476,-1.170277,-0.108583,-0.077871,0.202075,1
-0.400337,0.680876,-0.144635,-0.194012,0.257068,-2.067728,0
-0.638257,-0.929839,-1.886991,-0.442891,-1.877436,0.870123,1
-1.682072,-0.673525,0.754954,-0.594883,-0.281218,-0.369183,0
